query_id,minilm_ndcg,minilm_mrr,minilm_precision,system_ndcg,system_mrr,system_precision,system,ndcg_delta_vs_minilm,mrr_delta_vs_minilm,precision_delta_vs_minilm
q001,0.49090027111585044,1.0,0.8,0.27426546945536817,1.0,0.5,bm25,-0.21663480166048227,0.0,-0.30000000000000004
q002,0.5947718986560576,1.0,1.0,0.2312494236541687,0.5,0.3,bm25,-0.36352247500188895,-0.5,-0.7
q003,0.6324435927684925,1.0,0.7,0.07336392209936006,1.0,0.1,bm25,-0.5590796706691324,0.0,-0.6
q004,0.4394900292566279,1.0,0.6,0.2892732958086246,1.0,0.5,bm25,-0.1502167334480033,0.0,-0.09999999999999998
q005,0.38635002366809995,1.0,0.6,0.2414214956543411,1.0,0.3,bm25,-0.14492852801375886,0.0,-0.3
q006,0.5466304839501731,1.0,0.4,0.40329278716056016,1.0,0.4,bm25,-0.14333769678961295,0.0,0.0
q007,0.6961622681399229,1.0,0.7,0.5091666297253052,1.0,0.5,bm25,-0.18699563841461764,0.0,-0.19999999999999996
q008,1.0,1.0,1.0,0.6989768911376772,1.0,0.8,bm25,-0.30102310886232275,0.0,-0.19999999999999996
q009,0.31598177738436345,0.25,0.4,0.12987501165334076,0.1111111111111111,0.2,bm25,-0.1861067657310227,-0.1388888888888889,-0.2
q010,0.5446883027501755,1.0,0.9,0.3483080787686791,1.0,0.8,bm25,-0.19638022398149646,0.0,-0.09999999999999998
q011,0.09803928583135704,0.1,0.1,0.3391602052736161,1.0,0.1,bm25,0.24112091944225908,0.9,0.0
q012,0.14606834984270645,0.25,0.1,0.7870111744655098,1.0,0.4,bm25,0.6409428246228034,0.75,0.30000000000000004
q013,0.4080877936181632,1.0,0.4,0.07839826897867534,0.16666666666666666,0.1,bm25,-0.32968952463948786,-0.8333333333333334,-0.30000000000000004
q014,0.722216034582192,1.0,0.8,0.11508023002835537,0.3333333333333333,0.2,bm25,-0.6071358045538366,-0.6666666666666667,-0.6000000000000001
q015,0.7884282553641707,1.0,0.4,0.2175523222597755,0.3333333333333333,0.2,bm25,-0.5708759331043952,-0.6666666666666667,-0.2
q016,0.9074250374176304,1.0,1.0,0.31516255047698366,0.5,0.3,bm25,-0.5922624869406468,-0.5,-0.7
q017,0.3508948749050558,1.0,0.4,0.5190399951782712,1.0,0.5,bm25,0.16814512027321538,0.0,0.09999999999999998
q018,0.6347289430958043,0.5,0.3,0.42501747489323527,1.0,0.2,bm25,-0.20971146820256903,0.5,-0.09999999999999998
q019,0.5314417298384618,0.5,0.8,0.14449340662728616,0.25,0.4,bm25,-0.38694832321117567,-0.25,-0.4
q020,0.36939392620772976,1.0,0.4,0.3289656050710525,0.5,0.4,bm25,-0.04042832113667727,-0.5,0.0
q021,0.21801641453242446,0.16666666666666666,0.3,0.2048342475185909,0.3333333333333333,0.2,bm25,-0.013182167013833568,0.16666666666666666,-0.09999999999999998
q022,0.532758931541152,1.0,0.7,0.52513754386503,1.0,0.6,bm25,-0.007621387676121971,0.0,-0.09999999999999998
q023,0.8267618739379261,1.0,0.9,0.12316940358342446,0.25,0.2,bm25,-0.7035924703545017,-0.75,-0.7
q024,0.4578202666038144,1.0,0.2,0.160957993938732,0.2,0.1,bm25,-0.2968622726650824,-0.8,-0.1
q025,0.7507254855161793,1.0,0.9,0.5262906832956104,1.0,0.7,bm25,-0.224434802220569,0.0,-0.20000000000000007
q026,0.5711601909662336,1.0,0.6,0.3746661058764785,1.0,0.3,bm25,-0.19649408508975513,0.0,-0.3
q027,0.8307078519737277,1.0,0.9,0.7799082337019199,1.0,1.0,bm25,-0.05079961827180779,0.0,0.09999999999999998
q028,0.9432379215722527,1.0,1.0,0.8459222482069374,1.0,0.9,bm25,-0.09731567336531532,0.0,-0.09999999999999998
q029,0.4138836150091173,1.0,0.6,0.31675088801815077,1.0,0.4,bm25,-0.09713272699096653,0.0,-0.19999999999999996
q030,0.4396592698888862,1.0,0.1,0.4396592698888862,1.0,0.1,bm25,0.0,0.0,0.0
q031,0.5859914109963349,1.0,0.4,0.27250250430395506,0.5,0.2,bm25,-0.31348890669237983,-0.5,-0.2
q032,0.17155910524333215,0.2,0.2,0.0,0.0,0.0,bm25,-0.17155910524333215,-0.2,-0.2
q033,0.7973791542685903,1.0,0.9,0.29856700845386674,0.3333333333333333,0.5,bm25,-0.49881214581472355,-0.6666666666666667,-0.4
q034,0.13828930870401024,0.5,0.3,0.1517621910780354,1.0,0.2,bm25,0.013472882374025164,0.5,-0.09999999999999998
q035,0.393758437646072,1.0,0.3,0.49857235572538383,1.0,0.4,bm25,0.10481391807931184,0.0,0.10000000000000003
q036,0.9881397591602158,1.0,0.9,0.46304902358225924,1.0,0.4,bm25,-0.5250907355779566,0.0,-0.5
q037,0.6758704024811184,1.0,0.6,0.5193185983095429,1.0,0.5,bm25,-0.15655180417157555,0.0,-0.09999999999999998
q038,0.8611375561264455,1.0,0.9,0.43042149375026456,0.5,0.5,bm25,-0.43071606237618093,-0.5,-0.4
q039,1.0,1.0,0.1,0.3010299956639812,0.1111111111111111,0.1,bm25,-0.6989700043360187,-0.8888888888888888,0.0
q040,0.5159958223394444,1.0,1.0,0.0670149634394105,0.1111111111111111,0.2,bm25,-0.4489808589000339,-0.8888888888888888,-0.8
q041,0.43332320239731226,1.0,1.0,0.1759199576404183,0.25,0.6,bm25,-0.25740324475689397,-0.75,-0.4
q042,0.34070375304690387,1.0,0.3,0.10087621827536954,0.5,0.1,bm25,-0.23982753477153435,-0.5,-0.19999999999999998
q043,0.4264120970358327,1.0,1.0,0.5142327587163796,1.0,0.7,bm25,0.08782066168054692,0.0,-0.30000000000000004
q044,1.0,1.0,1.0,0.4407425429467523,1.0,0.6,bm25,-0.5592574570532477,0.0,-0.4
q045,0.7846170207230129,1.0,0.7,0.92663607790064,1.0,0.9,bm25,0.14201905717762708,0.0,0.20000000000000007
q046,1.0,1.0,1.0,0.7335805796855235,1.0,0.8,bm25,-0.2664194203144765,0.0,-0.19999999999999996
q047,1.0,1.0,1.0,1.0,1.0,1.0,bm25,0.0,0.0,0.0
